Week,price_per_gallon
2015-07-20,2.522
2015-07-13,2.539
2015-07-6,2.528
2015-06-29,2.547
2015-06-22,2.581
2015-06-15,2.613
2015-06-8,2.531
2015-06-1,2.488
2015-05-25,2.487
2015-05-18,2.466
2015-05-11,2.424
2015-05-4,2.369
2015-04-27,2.301
2015-04-20,2.247
2015-04-13,2.174
2015-04-6,2.178
2015-03-30,2.192
2015-03-23,2.198
2015-03-16,2.234
2015-03-9,2.246
2015-03-2,2.245
2015-02-23,2.133
2015-02-16,2.086
2015-02-9,1.989
2015-02-2,1.865
2015-01-26,1.847
2015-01-19,1.853
2015-01-12,1.932
2015-01-5,2.004
2014-12-29,2.071
2014-12-22,2.206
2014-12-15,2.338
2014-12-8,2.462
2014-12-1,2.558
2014-11-24,2.615
2014-11-17,2.692
2014-11-10,2.754
2014-11-3,2.801
2014-10-27,2.86
2014-10-20,2.936
2014-10-13,3.028
2014-10-6,3.136
2014-09-29,3.188
2014-09-22,3.158
2014-09-15,3.205
2014-09-8,3.243
2014-09-1,3.249
2014-08-25,3.268
2014-08-18,3.287
2014-08-11,3.315
2014-08-4,3.353
2014-07-28,3.393
2014-07-21,3.444
2014-07-14,3.481
2014-07-7,3.501
2014-06-30,3.507
2014-06-23,3.517
2014-06-16,3.468
2014-06-9,3.446
2014-06-2,3.45
2014-05-26,3.452
2014-05-19,3.449
2014-05-12,3.444
2014-05-5,3.475
2014-04-28,3.501
2014-04-21,3.498
2014-04-14,3.459
2014-04-7,3.369
2014-03-31,3.333
2014-03-24,3.318
2014-03-17,3.28
2014-03-10,3.262
2014-03-3,3.236
2014-02-24,3.21
2014-02-17,3.187
2014-02-10,3.099
2014-02-3,3.085
2014-01-27,3.097
2014-01-20,3.105
2014-01-13,3.124
2014-01-6,3.127
2013-12-30,3.126
2013-12-23,3.06
2013-12-16,3.059
2013-12-9,3.107
2013-12-2,3.119
2013-11-25,3.142
2013-11-18,2.985
2013-11-11,2.967
2013-11-4,3.026
2013-10-28,3.084
2013-10-21,3.146
2013-10-14,3.119
2013-10-7,3.149
2013-09-30,3.204
2013-09-23,3.271
2013-09-16,3.341
2013-09-9,3.414
2013-09-2,3.456
2013-08-26,3.422
2013-08-19,3.41
2013-08-12,3.434
2013-08-5,3.48
2013-07-29,3.516
2013-07-22,3.544
2013-07-15,3.477
2013-07-8,3.329
2013-07-1,3.344
2013-06-24,3.416
2013-06-17,3.417
2013-06-10,3.357
2013-06-3,3.369
2013-05-27,3.395
2013-05-20,3.42
2013-05-13,3.39
2013-05-6,3.31
2013-04-29,3.297
2013-04-22,3.327
2013-04-15,3.362
2013-04-8,3.445
2013-04-1,3.496
2013-03-25,3.506
2013-03-18,3.538
2013-03-11,3.558
2013-03-4,3.591
2013-02-25,3.642
2013-02-18,3.541
2013-02-11,3.42
2013-02-4,3.355
2013-01-28,3.175
2013-01-21,3.161
2013-01-14,3.166
2013-01-7,3.17
2012-12-31,3.097
2012-12-24,3.05
2012-12-17,3.057
2012-12-10,3.121
2012-12-3,3.161
2012-11-26,3.168
2012-11-19,3.17
2012-11-12,3.216
2012-11-5,3.27
2012-10-29,3.337
2012-10-22,3.455
2012-10-15,3.541
2012-10-8,3.55
2012-10-1,3.58
2012-09-24,3.618
2012-09-17,3.68
2012-09-10,3.669
2012-09-3,3.679
2012-08-27,3.596
2012-08-20,3.565
2012-08-13,3.513
2012-08-6,3.436
2012-07-30,3.358
2012-07-23,3.334
2012-07-16,3.242
2012-07-9,3.193
2012-07-2,3.174
2012-06-25,3.237
2012-06-18,3.299
2012-06-11,3.34
2012-06-4,3.385
2012-05-28,3.428
2012-05-21,3.491
2012-05-14,3.554
2012-05-7,3.616
2012-04-30,3.676
2012-04-23,3.739
2012-04-16,3.803
2012-04-9,3.809
2012-04-2,3.792
2012-03-26,3.749
2012-03-19,3.688
2012-03-12,3.633
2012-03-5,3.603
2012-02-27,3.568
2012-02-20,3.495
2012-02-13,3.44
2012-02-6,3.37
2012-01-30,3.305
2012-01-23,3.234
2012-01-16,3.214
2012-01-9,3.208
2012-01-2,3.12
2011-12-26,3.076
2011-12-19,3.075
2011-12-12,3.118
2011-12-5,3.117
2011-11-28,3.137
2011-11-21,3.207
2011-11-14,3.278
2011-11-7,3.269
2011-10-31,3.303
2011-10-24,3.344
2011-10-17,3.318
2011-10-10,3.256
2011-10-3,3.286
2011-09-26,3.345
2011-09-19,3.443
2011-09-12,3.509
2011-09-5,3.528
2011-08-29,3.506
2011-08-22,3.491
2011-08-15,3.521
2011-08-8,3.596
2011-08-1,3.638
2011-07-25,3.628
2011-07-18,3.598
2011-07-11,3.526
2011-07-4,3.44
2011-06-27,3.48
2011-06-20,3.546
2011-06-13,3.592
2011-06-6,3.607
2011-05-30,3.654
2011-05-23,3.724
2011-05-16,3.843
2011-05-9,3.84
2011-05-2,3.838
2011-04-25,3.747
2011-04-18,3.747
2011-04-11,3.68
2011-04-4,3.557
2011-03-28,3.464
2011-03-21,3.422
2011-03-14,3.434
2011-03-7,3.411
2011-02-28,3.241
2011-02-21,3.021
2011-02-14,2.999
2011-02-7,2.989
2011-01-31,2.953
2011-01-24,2.973
2011-01-17,2.966
2011-01-10,2.943
2011-01-3,2.941
2010-12-27,2.896
2010-12-20,2.838
2010-12-13,2.832
2010-12-6,2.795
2010-11-29,2.664
2010-11-22,2.691
2010-11-15,2.727
2010-11-8,2.687
2010-11-1,2.642
2010-10-25,2.668
2010-10-18,2.672
2010-10-11,2.674
2010-10-4,2.582
2010-09-27,2.573
2010-09-20,2.591
2010-09-13,2.545
2010-09-6,2.536
2010-08-30,2.546
2010-08-23,2.589
2010-08-16,2.631
2010-08-9,2.657
2010-08-2,2.596
2010-07-26,2.605
2010-07-19,2.583
2010-07-12,2.594
2010-07-5,2.611
2010-06-28,2.642
2010-06-21,2.629
2010-06-14,2.619
2010-06-7,2.644
2010-05-31,2.678
2010-05-24,2.721
2010-05-17,2.792
2010-05-10,2.818
2010-05-3,2.796
2010-04-26,2.737
2010-04-19,2.749
2010-04-12,2.757
2010-04-5,2.725
2010-03-29,2.668
2010-03-22,2.686
2010-03-15,2.678
2010-03-8,2.624
2010-03-1,2.584
2010-02-22,2.522
2010-02-15,2.485
2010-02-8,2.505
2010-02-1,2.531
2010-01-25,2.576
2010-01-18,2.608
2010-01-11,2.602
2010-01-4,2.518
2009-12-28,2.471
2009-12-21,2.446
2009-12-14,2.478
2009-12-7,2.513
2009-11-30,2.493
2009-11-23,2.514
2009-11-16,2.495
2009-11-9,2.521
2009-11-2,2.561
2009-10-26,2.549
2009-10-19,2.45
2009-10-12,2.337
2009-10-5,2.32
2009-09-28,2.33
2009-09-21,2.389
2009-09-14,2.414
2009-09-7,2.436
2009-08-31,2.482
2009-08-24,2.518
2009-08-17,2.545
2009-08-10,2.551
2009-08-3,2.45
2009-07-27,2.376
2009-07-20,2.327
2009-07-13,2.38
2009-07-6,2.451
2009-06-29,2.516
2009-06-22,2.565
2009-06-15,2.535
2009-06-8,2.479
2009-06-1,2.403
2009-05-25,2.337
2009-05-18,2.214
2009-05-11,2.143
2009-05-4,1.961
2009-04-27,1.95
2009-04-20,1.97
2009-04-13,1.965
2009-04-6,1.954
2009-03-30,1.959
2009-03-23,1.861
2009-03-16,1.8
2009-03-9,1.811
2009-03-2,1.809
2009-02-23,1.763
2009-02-16,1.825
2009-02-9,1.823
2009-02-2,1.791
2009-01-26,1.72
2009-01-19,1.726
2009-01-12,1.642
2009-01-5,1.559
2008-12-29,1.501
2008-12-22,1.566
2008-12-15,1.574
2008-12-8,1.636
2008-12-1,1.741
2008-11-24,1.811
2008-11-17,1.947
2008-11-10,2.052
2008-11-3,2.175
2008-10-27,2.388
2008-10-20,2.65
2008-10-13,2.906
2008-10-6,3.364
2008-09-29,3.567
2008-09-22,3.654
2008-09-15,3.717
2008-09-8,3.573
2008-09-1,3.607
2008-08-25,3.534
2008-08-18,3.62
2008-08-11,3.694
2008-08-4,3.776
2008-07-28,3.849
2008-07-21,3.947
2008-07-14,3.986
2008-07-7,3.97
2008-06-30,3.944
2008-06-23,3.932
2008-06-16,3.953
2008-06-9,3.91
2008-06-2,3.855
2008-05-26,3.841
2008-05-19,3.701
2008-05-12,3.623
2008-05-5,3.513
2008-04-28,3.513
2008-04-21,3.412
2008-04-14,3.286
2008-04-7,3.248
2008-03-31,3.201
2008-03-24,3.155
2008-03-17,3.165
2008-03-10,3.123
2008-03-3,3.091
2008-02-25,3.047
2008-02-18,2.938
2008-02-11,2.86
2008-02-4,2.878
2008-01-28,2.881
2008-01-21,2.903
2008-01-14,2.956
2008-01-7,2.978
2007-12-31,2.938
2007-12-24,2.85
2007-12-17,2.868
2007-12-10,2.894
2007-12-3,2.952
2007-11-26,2.971
2007-11-19,2.982
2007-11-12,3.003
2007-11-5,2.909
2007-10-29,2.752
2007-10-22,2.73
2007-10-15,2.668
2007-10-8,2.688
2007-10-1,2.728
2007-09-24,2.738
2007-09-17,2.717
2007-09-10,2.729
2007-09-3,2.688
2007-08-27,2.699
2007-08-20,2.717
2007-08-13,2.716
2007-08-6,2.784
2007-07-30,2.819
2007-07-23,2.89
2007-07-16,2.952
2007-07-9,2.894
2007-07-2,2.871
2007-06-25,2.897
2007-06-18,2.907
2007-06-11,2.958
2007-06-4,3.01
2007-05-28,3.064
2007-05-21,3.101
2007-05-14,2.93
2007-05-7,2.86
2007-04-30,2.846
2007-04-23,2.734
2007-04-16,2.744
2007-04-9,2.67
2007-04-2,2.558
2007-03-26,2.435
2007-03-19,2.406
2007-03-12,2.391
2007-03-5,2.356
2007-02-26,2.24
2007-02-19,2.13
2007-02-12,2.089
2007-02-5,2.061
2007-01-29,2.028
2007-01-22,2.053
2007-01-15,2.099
2007-01-8,2.154
2007-01-1,2.2
2006-12-25,2.211
2006-12-18,2.203
2006-12-11,2.2
2006-12-4,2.176
2006-11-27,2.123
2006-11-20,2.125
2006-11-13,2.118
2006-11-6,2.105
2006-10-30,2.113
2006-10-23,2.106
2006-10-16,2.127
2006-10-9,2.146
2006-10-2,2.192
2006-09-25,2.256
2006-09-18,2.361
2006-09-11,2.477
2006-09-4,2.58
2006-08-28,2.717
2006-08-21,2.802
2006-08-14,2.869
2006-08-7,2.935
2006-07-31,2.892
2006-07-24,2.879
2006-07-17,2.839
2006-07-10,2.809
2006-07-3,2.792
2006-06-26,2.713
2006-06-19,2.736
2006-06-12,2.77
2006-06-5,2.715
2006-05-29,2.689
2006-05-22,2.735
2006-05-15,2.814
2006-05-8,2.772
2006-05-1,2.822
2006-04-24,2.86
2006-04-17,2.761
2006-04-10,2.664
2006-04-3,2.543
2006-03-27,2.423
2006-03-20,2.452
2006-03-13,2.277
2006-03-6,2.24
2006-02-27,2.127
2006-02-20,2.129
2006-02-13,2.175
2006-02-6,2.237
2006-01-30,2.252
2006-01-23,2.273
2006-01-16,2.252
2006-01-9,2.266
2006-01-2,2.163
2005-12-26,2.144
2005-12-19,2.162
2005-12-12,2.149
2005-12-5,2.056
2005-11-28,2.059
2005-11-21,2.09
2005-11-14,2.184
2005-11-7,2.281
2005-10-31,2.381
2005-10-24,2.515
2005-10-17,2.663
2005-10-10,2.802
2005-10-3,2.883
2005-09-26,2.735
2005-09-19,2.637
2005-09-12,2.816
2005-09-5,2.93
2005-08-29,2.506
2005-08-22,2.535
2005-08-15,2.484
2005-08-8,2.261
